name,categories,address,city,postal_code,phone,website,rating,reviews,price_level,lat,lng,place_id,google_maps_url,party_signal,party_evidence,party_page_url,party_page_status,party_details,kid_review_pct,recent_avg_stars,review_red_flags
LEGOLAND Discovery Centre Toronto,Children's amusement center; Tourist attraction,"1 Bass Pro Mills Dr, Vaughan, ON L4K 5W4, Canada",Vaughan,L4K 5W4,+19057617066,https://www.legolanddiscoverycentre.com/toronto/?utm_source=local-listing&utm_medium=organic&utm_campaign=homepage,4,7157,,43.8249707,-79.5353885,ChIJB49yxhUvK4gR3Xq2u6BUibg,https://www.google.com/maps/search/?api=1&query=LEGOLAND%20Discovery%20Centre%20Toronto&query_place_id=ChIJB49yxhUvK4gR3Xq2u6BUibg,yes, Birthdays ,https://www.legolanddiscoverycentre.com/toronto/groups-schools/birthdays/,party_page_found,"prices: $19, $30, $50, $75, $800; capacity: 50; duration: 3 hours",15,4.2,
Playcious Vaughan,Indoor playground; Amusement center; Cafeteria; Children's amusement center; Event planner; Event venue; Party planner; Playground,"50A Caldari Rd, Concord, ON L4K 4N8, Canada",Concord,L4K 4N8,+19056699996,https://playcious.com/vaughan,4.4,1874,,43.8187071,-79.5284841,ChIJ81kkzxAvK4gRNTrbjAhPavQ,https://www.google.com/maps/search/?api=1&query=Playcious%20Vaughan&query_place_id=ChIJ81kkzxAvK4gRNTrbjAhPavQ,yes,"ckey-Mouse-Mars-1.jpg"",""width"":1170,""height"":855,""caption"":""Birthday Parties""},{""@type"":""BreadcrumbList"",""@id"":""https:\/\/playci",https://playcious.com/vaughan/,party_page_found,,55,4.4,I had such a great experience booking my daughter’s birthday party wit; This is a bittersweet review because I actually appreciate the offerin
The Rec Room Square One,Amusement center; Archery range; Bar; Bowling alley; Event venue; Live music venue; Pool billard club; Restaurant; Sports bar; Video arcade,"100 City Centre Dr #1-705, Mississauga, ON L5B 2C9, Canada",Mississauga,L5B 2C9,+12893410611,https://www.therecroom.com/mississauga-squareone?utm_source=google-my-business_MississaugaSquareOne&utm_medium=profile&utm_campaign=owned_media,4,6408,,43.5928688,-79.6455337,ChIJb2u0smJHK4gRyKsMVRZSUPg,https://www.google.com/maps/search/?api=1&query=The%20Rec%20Room%20Square%20One&query_place_id=ChIJb2u0smJHK4gRyKsMVRZSUPg,yes,"oy live music, team building activities, and host your next birthday party. Find fun things to do in Mississauga this weekend, i",https://www.therecroom.com/mississauga-squareone/parties-groups,party_page_found,"prices: $103, $110, $13, $18, $20; capacity: 40",5,4.7,
Playdium Orion Gate,Amusement center; Indoor playground; Bowling alley; Video arcade,"20 Biscayne Crescent, Brampton, ON L6W 4S1, Canada",Brampton,L6W 4S1,+19057699070,https://www.playdium.com/brampton?utm_source=google-my-business_Brampton&utm_medium=profile&utm_campaign=owned_media,4,2256,,43.6802598,-79.7158659,ChIJFUx--bc_K4gRvy4MCxZ-LVQ,https://www.google.com/maps/search/?api=1&query=Playdium%20Orion%20Gate&query_place_id=ChIJFUx--bc_K4gRvy4MCxZ-LVQ,yes,"next-head="""">Playdium Brampton | Arcade, Food, Events &amp; Parties <meta name=""description"" content=""Discover Playdium ",https://www.playdium.com/brampton/party,party_page_found,"prices: $200, $325, $50; duration: 1 hour",0,4.2,I've been here a few times. Wish the space was utilized to offer a lar; Not great for Adults.  No racing sims; This place is just a hype. Nothing interesting at all inside for adult
The Bubble Jump Park - Toronto,Amusement center,"65 Orfus Rd Unit A, North York, ON M6A 1L7, Canada",North York,M6A 1L7,+14164107469,https://www.the-bubble.ca/,4.6,1655,,43.7186056,-79.4626838,ChIJTRtX9EgzK4gR7ZalW-umeYg,https://www.google.com/maps/search/?api=1&query=The%20Bubble%20Jump%20Park%20-%20Toronto&query_place_id=ChIJTRtX9EgzK4gR7ZalW-umeYg,yes,"ends! Jump, climb, and explore our inflatapark, arcade, and party packages. Safe, fun, and unforgettable entertainment—book your visi",https://the-bubble.ca/,homepage_mentions_birthday,,50,4.7,Had my daughter birthday there for the third year. Gotta say was not s
Air Riderz Adventure Park Vaughan,Indoor playground; Amusement park; Children's amusement center; Children's party service; Event venue; Recreation center; Summer camp organizer,"570 Applewood Crescent #3, Concord, ON L4K 4B4, Canada",Concord,L4K 4B4,+19056957011,https://www.airriderz.com/vaughan/,4.5,1605,,43.7998791,-79.5393651,ChIJETfAn0svK4gRSv5TobhtC0s,https://www.google.com/maps/search/?api=1&query=Air%20Riderz%20Adventure%20Park%20Vaughan&query_place_id=ChIJETfAn0svK4gRSv5TobhtC0s,yes,oter #menu-attractions-activities{display:none}footer #menu-parties-events{display:none}footer .menu-title{display:none}footer ,https://www.airriderz.com/vaughan/birthday/,party_page_found,"prices: $13, $15, $299, $330, $34; capacity: 12; duration: 1 hour",15,4.6,"Great trampoline park, climbing is fun.
My only concern is dirty washr; I was quite disappointed by air riders in Vaughan. We frequent sky zon; Whoever was working today, younger girl, long light brown hair, she to"
Jungle Land,Indoor playground; Tourist attraction,"1033 Edgeley Blvd, Concord, ON L4K 0H4, Canada",Concord,L4K 0H4,+19057605565,http://www.jungleland.ca/,4.4,1514,,43.8200479,-79.5381212,ChIJRZg0VGsvK4gRadPYM2y9Q04,https://www.google.com/maps/search/?api=1&query=Jungle%20Land&query_place_id=ChIJRZg0VGsvK4gRadPYM2y9Q04,yes,"ificates.html"" class="""">Gift Certificates Birthday Parties <a h",https://www.jungleland.ca/birthday-party-packages.html,party_page_found,capacity: 10; duration: 3 hours,35,4.6,
The Bubble Jump Park - Vaughan,Amusement center,"7979 Weston Rd, Woodbridge, ON L4L 0L4, Canada",Woodbridge,L4L 0L4,+19056229500,https://www.the-bubble.ca/,4.8,1420,,43.79533,-79.547875,ChIJ215Pza8vK4gRHpbtPlSpqak,https://www.google.com/maps/search/?api=1&query=The%20Bubble%20Jump%20Park%20-%20Vaughan&query_place_id=ChIJ215Pza8vK4gRHpbtPlSpqak,yes,"ends! Jump, climb, and explore our inflatapark, arcade, and party packages. Safe, fun, and unforgettable entertainment—book your visi",https://the-bubble.ca/,homepage_mentions_birthday,,20,5.0,Bubble jump was so much fun for kids but you just need to becareful fo
Playcious Mississauga,Indoor playground,"75 Courtneypark Dr W Unit 2b, Mississauga, ON L5W 0E3, Canada",Mississauga,L5W 0E3,+19059010421,https://playcious.com/mississauga/,4.7,1093,,43.6360513,-79.6968882,ChIJ8bud-H8_K4gRCxZBM_bK_gs,https://www.google.com/maps/search/?api=1&query=Playcious%20Mississauga&query_place_id=ChIJ8bud-H8_K4gRCxZBM_bK_gs,yes,"mper cars, climbing walls, arcades, toddler play areas, and birthday party packages across multiple Ontario locations."", ""tel",https://playcious.com/mississauga/,party_page_found,prices: $𝟏𝟕; duration: 1 hr,55,5.0,
Sandbox VR,Children's amusement center; Amusement center; Event venue; Tourist attraction; Video arcade,"7621 Weston Rd Ste 135, Vaughan, ON L4L 9J9, Canada",Vaughan,L4L 9J9,+19056059533,https://sandboxvr.com/ca/toronto/vaughan?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=vaughan,5,1126,,43.7877252,-79.5465349,ChIJeXOvTJ4vK4gR3WoaW42EKd4,https://www.google.com/maps/search/?api=1&query=Sandbox%20VR&query_place_id=ChIJeXOvTJ4vK4gR3WoaW42EKd4,yes,"ames with friends at Sandbox VR Vaughan in Toronto. Groups, parties and date nights — book your session online.""/><meta propert",https://sandboxvr.com/ca/toronto/vaughan/private-events,party_page_found,"prices: $10, $100, $288, $300, $37",5,5.0,
Kidsapia,Amusement center; Indoor playground,"5100 Erin Mills Pkwy Unit D13/14, Mississauga, ON L5M 4Z5, Canada",Mississauga,L5M 4Z5,+12899979177,https://www.kidsapia.ca/,4.4,1229,,43.5586447,-79.7115912,ChIJo_QLgIlBK4gRztdMIxSkE0Y,https://www.google.com/maps/search/?api=1&query=Kidsapia&query_place_id=ChIJo_QLgIlBK4gRztdMIxSkE0Y,yes,"roll"" href=""https://kidsapia.ca/party-and-event-packages/"">PARTIES/EVENTS <li id=""menu-item-",,site_unreachable,,75,5.0,"Don't think twice! This place is absolutely amazing! I had my sons 3rd; We had such a great experience at kidsapia! The place is beautiful, fu; We hosted our son’s 5th birthday party at Kidsapia, and it was a wonde"
Playcious Oakville,Children's amusement center; Amusement center; Cafeteria; Indoor playground; Children's cafe; Event planner; Event venue; Party planner; Playground; Rock climbing,"3280 S Service Rd W Unit C4, Oakville, ON L6L 0B1, Canada",Oakville,L6L 0B1,+19054656996,https://www.playcious.com/oakville,4.5,1118,,43.4003295,-79.7480545,ChIJxTKXqVZhK4gRUKGhzAzx2bo,https://www.google.com/maps/search/?api=1&query=Playcious%20Oakville&query_place_id=ChIJxTKXqVZhK4gRUKGhzAzx2bo,yes,"mper cars, climbing walls, arcades, toddler play areas, and birthday party packages across multiple Ontario locations."", ""tel",https://playcious.com/oakville/,party_page_found,duration: 3 hours; ages: 2-6,40,4.2,"Horrible!
Few months ago my daughter climbed the wall she looked down ; I went to this place last week. The manager was very rude to customers; My kids love this place — it’s always so much fun, and the staff are c"
Playtopia,Indoor playground; Amusement center; Children's amusement center; Children's party service; Event planner; Party planner; Video arcade,"1681 Langstaff Rd #14-16, Vaughan, ON L4K 5T3, Canada",Vaughan,L4K 5T3,+19056952511,http://playtopia.ca/,4.2,1373,,43.8225502,-79.482733,ChIJ8ycy4bwuK4gRq6cRra1cvAc,https://www.google.com/maps/search/?api=1&query=Playtopia&query_place_id=ChIJ8ycy4bwuK4gRq6cRra1cvAc,yes,"ref=""/css/style1.5.css""> <link rel=""stylesheet"" href=""/css/common.css?v",https://playtopia.ca/css/style1.5.css,party_page_found,,45,4.3,; Terrible customer service
Kart Town Playground and Birthdays,Children's amusement center; Amusement center; Bouncy castle hire; Children hall; Children's party service; Indoor playground; Playground; Video arcade; Video game store,"Inside Parkway Mall, 85 Ellesmere Rd Unit 102, Scarborough, ON M1R 4B8, Canada",Scarborough,M1R 4B8,+14376605278,https://karttown.ca/?utm_campaign=gmb,4.8,861,,43.7571361,-79.3120044,ChIJDzZfe3fT1IkRFJJlEqtVVJ8,https://www.google.com/maps/search/?api=1&query=Kart%20Town%20Playground%20and%20Birthdays&query_place_id=ChIJDzZfe3fT1IkRFJJlEqtVVJ8,yes,"r Go-Karting &amp; Fun for Kids in Scarborough and Toronto\nBirthday Party Venue, Arcade &amp; More"",""legalName"":""admin_ytv6ggsq",https://karttown.ca/?utm_campaign=gmb,homepage_mentions_birthday,capacity: 014,55,4.9,"We recently visited Kart Town with our family, and it was such a fun e"
Funday! Family Centre & Indoor Playground,Amusement center; Indoor playground; Cafe; Children's camp; Children's party service; Coffee shop; Event venue; Recreation center; Toy store,"1224 Dundas St E Unit 26, Mississauga, ON L4Y 4A2, Canada",Mississauga,L4Y 4A2,+16472127433,https://www.thefunday.ca/,4.8,889,,43.6038315,-79.5847284,ChIJV0P3gz9HK4gRgbIiTl1KvfI,https://www.google.com/maps/search/?api=1&query=Funday!%20Family%20Centre%20%26%20Indoor%20Playground&query_place_id=ChIJV0P3gz9HK4gRgbIiTl1KvfI,yes,"k.min.css.map*/ Indoor Playground &amp; Kids Birthday Party Venue in Mississauga | Funday! <meta name=""",https://www.thefunday.ca/,homepage_mentions_birthday,duration: 2 hours,45,4.8,This place has really gone down hill! We loved it when it first opened
TreeHouse ClubHouse,Indoor playground; Banquet hall; Children hall; Children's party buffet; Children's party service; Event planner; Event venue; Party planner; Playground; Recreation center,"1095 Kingston Rd, Pickering, ON L1V 1B5, Canada",Pickering,L1V 1B5,+19054207529,http://www.treehouseclubhouse.com/,4.2,1172,,43.8267836,-79.0994545,ChIJH-y_LTDf1IkRWfOtGac4HOE,https://www.google.com/maps/search/?api=1&query=TreeHouse%20ClubHouse&query_place_id=ChIJH-y_LTDf1IkRWfOtGac4HOE,yes,"ct/yoast-seo-wordpress/ --> Indoor Playground &amp; Birthday Party Packages <meta name=""description"" content=""D",,site_unreachable,,50,4.3,"I'd rate this place 2.5**

Our experience at Treehouse Clubhouse was v; Shocked at the state of the equipment. The young staff was very sweet ; We visited the facility on Thursday, July 16 with 7-month-old infant. "
FUNtastic Forest,Indoor playground,"14 Connie Crescent #12, Concord, ON L4K 2W8, Canada",Concord,L4K 2W8,+19057386386,http://www.funtasticforest.ca/,4.5,676,,43.8213349,-79.4892605,ChIJZ-ls1L8uK4gRoyMce9vtgKg,https://www.google.com/maps/search/?api=1&query=FUNtastic%20Forest&query_place_id=ChIJZ-ls1L8uK4gRoyMce9vtgKg,yes,roup_7.c472a333.chunk.min.css.map*/ Children Birthday Party Venue | Ontario | Funtastic Forest <meta na,https://www.funtasticforest.ca,party_page_found,duration: 6386 Hours,80,5.0,We hosted our daughter’s 2nd birthday at FunTastic Forest and honestly
Fun Factory Play Cafe - Pickering,Indoor playground; Cafe; Children's amusement center; Coffee shop; Event venue; Party planner,"1420 Bayly St #15, Pickering, ON L1W 3R4, Canada",Pickering,L1W 3R4,+16478248389,http://www.funfactoryplay.ca/,4.4,803,,43.83115,-79.0812758,ChIJXfg1xeXe1IkR_2AeX0R7A0c,https://www.google.com/maps/search/?api=1&query=Fun%20Factory%20Play%20Cafe%20-%20Pickering&query_place_id=ChIJXfg1xeXe1IkR_2AeX0R7A0c,yes,"ext-size-adjust"" content=""""/> Indoor Playground &amp; Birthday Parties Pickering ON | Fun Factory Play Café <meta n",https://www.funfactoryplay.ca/birthday-parties,party_page_found,"prices: $100, $14, $29, $38, $399; capacity: 10; duration: 2.5 hours",55,5.0,Jaden provided great information and guided us through our first visit; We hosted our daughters 5th birthday here and it did not disappoint - 
Kid's Cuckoos Nest,Indoor playground; Event venue,"155 Industrial Pkwy S, Aurora, ON L4G 3V5, Canada",Aurora,L4G 3V5,+19057276378,http://kidscuckoosnest.com/,4.3,839,,43.9932021,-79.4565971,ChIJEx0YEPHTKogRDSOgJl6ugN4,https://www.google.com/maps/search/?api=1&query=Kid's%20Cuckoos%20Nest&query_place_id=ChIJEx0YEPHTKogRDSOgJl6ugN4,yes,"iner""> Celebrate the Perfect Party ",https://kidscuckoosnest.com/party-booking/,party_page_found,"prices: $100, $20, $27, $299; capacity: 10; duration: 2.5 hours",45,4.7,This place is chaotic for kids. Also doesn’t allow parents to go insid
Kids Fun Town,Indoor playground; Party planner,"2071 Danforth Ave, Toronto, ON M4C 1J8, Canada",Toronto,M4C 1J8,+14162777689,https://kidsfuntown.ca/,4.7,514,,43.685389,-79.312974,ChIJASF6oGzM1IkRy6sza2bT2a0,https://www.google.com/maps/search/?api=1&query=Kids%20Fun%20Town&query_place_id=ChIJASF6oGzM1IkRy6sza2bT2a0,yes,s://yoast.com/product/yoast-seo-wordpress/ --> Kids Birthday Parties | Party Coordinators - Kids Fun Town <meta,https://kidsfuntown.ca/party-packages,party_page_found,"prices: $ 499, $ 639, $ 799, $ 899, $25; capacity: 10; duration: 2 hour",85,4.9,"We absolutely loved celebrating our son’s 5th birthday here. The team ; We recently celebrated our daughter’s 4th birthday, and our experience"
Jump for Joy Play Centre,Indoor playground; Children's party service,"1472 Danforth Ave, Toronto, ON M4J 1N4, Canada",Toronto,M4J 1N4,+14169106522,https://jumpforjoyplaycentre.ca/,4.9,397,,43.6829813,-79.3260696,ChIJo3hEPWXM1IkRuh_r3RJshP4,https://www.google.com/maps/search/?api=1&query=Jump%20for%20Joy%20Play%20Centre&query_place_id=ChIJo3hEPWXM1IkRuh_r3RJshP4,yes,"ayground: we’re a community hub that provides drop-in play, parties and programs for children of all ages and their families at",https://jumpforjoyplaycentre.ca/parties-1,party_page_found,"prices: $ 28, $13, $14, $589, $59; capacity: 15; duration: 2hr",90,4.5,; We recently held our son’s 3rd birthday at Jump for Joy and it exceede
Little Jingle Beans Inc.,Entertainer; Children's party service; Preschool,"99 Silver Birch Avenue (lower level, Toronto, ON M4E 3L3, Canada",Toronto,M4E 3L3,+14166270805,http://www.littlejinglebeans.com/,4.9,359,,43.6737784,-79.285302,ChIJO1unbX8zK4gRyENMZ4RtU6c,https://www.google.com/maps/search/?api=1&query=Little%20Jingle%20Beans%20Inc.&query_place_id=ChIJO1unbX8zK4gRyENMZ4RtU6c,yes,"ertainers in toronto,kids theme party entertainment,toddler birthday party,childs birthday party entertainment,balloons,face pai",https://www.littlejinglebeans.com/pages/mascot-parties,party_page_found,"prices: $225, $325, $375; capacity: 15",95,5.0,"We had Belle from Little Jingle Beans attend my daughter’s birthday pa; We had the pleasure of hiring this company for my son's 5th birthday p; We hired Moana for my daughter's birthday, and she was amazing. From t"
Funland Indoor Playground,Indoor playground,"5051 Hwy 7 Unit 1a, Markham, ON L3R 1N3, Canada",Markham,L3R 1N3,+19058680888,https://funlandplayground.ca/,4.5,691,,43.8652616,-79.2894207,ChIJxwHnOsfX1IkRcFVCKWaQpdA,https://www.google.com/maps/search/?api=1&query=Funland%20Indoor%20Playground&query_place_id=ChIJxwHnOsfX1IkRcFVCKWaQpdA,yes,"pan class=""avia-bullet""> Party Packages <span class=""avia-arrow-w",https://funlandplayground.ca/,homepage_mentions_birthday,ages: 1 to 13,50,4.8,"Visited this place today July 15th , customer service was bad unlike t; We just hosted our daughter’s 3rd birthday party at Funland, and she h"
Happy Kingdom Dundas,Indoor playground,"3025 Lenworth Dr, Mississauga, ON L4X 2G3, Canada",Mississauga,L4X 2G3,+13652309177,https://happykingdomdundas.ca/,4.7,769,,43.6208466,-79.573753,ChIJ_15IVuw5K4gRMBYz86JUyck,https://www.google.com/maps/search/?api=1&query=Happy%20Kingdom%20Dundas&query_place_id=ChIJ_15IVuw5K4gRMBYz86JUyck,yes,"ome to Happy Kingdom Dundas Your go-to spot for fun and celebrations. <div class=""elementor-el",https://happykingdomdundas.ca/party/,party_page_found,,45,4.0,"I WOULD HAVE GIVE 0 STAR BUT SINCE YOU NEED TO ADD SOMETHING. Before T; Just a heads-up: the posted closing time is 8:00 PM, but in reality, y; Place is a joke. Drove an hour and 20 minutes from Cambridge to try a "
Space Center Playground,Children's club,"688 Chrislea Rd, Vaughan, ON L4L 8K9, Canada",Vaughan,L4L 8K9,+14372868801,https://space-center.ca/,4.8,665,,43.8070465,-79.5472745,ChIJsYrUcb8vK4gRS786IrfrhAo,https://www.google.com/maps/search/?api=1&query=Space%20Center%20Playground&query_place_id=ChIJsYrUcb8vK4gRS786IrfrhAo,yes,"te-party/"" class=""menu-link""> Private Party <li class="" menu-item menu-item-type-post_type menu",https://space-center.ca/private-party/,party_page_found,,60,4.7,Its ok.  Way overpriced and its absolutely freezing in here. Half the ; Just not worth it imo.; Saviour was great! He took the initiative to take the kids around and 
Artventures Oakville Lakeshore/Bronte,Children's party service; Art cafe; Art center; Art school; Art supply store; Children's party buffet; Pottery classes; Paint store; Party planner; Pottery store,"2359 Lakeshore Rd W, Oakville, ON L6L 1H4, Canada",Oakville,L6L 1H4,+18332400310,http://artventuresstudios.com/,4.9,784,,43.3970067,-79.7092793,ChIJAQDk_XBeK4gRHerMJXMFfSY,https://www.google.com/maps/search/?api=1&query=Artventures%20Oakville%20Lakeshore%2FBronte&query_place_id=ChIJAQDk_XBeK4gRHerMJXMFfSY,yes,"-1cb1558b5764"" data-edit-interactive=""true"" href=""/groups%2Fparties"" data-typography=""NavAlpha"" class=""x-el x-el-a c1-3c c1-1p ",https://artventuresstudios.com/groups%2Fparties,party_page_found,,10,4.9,Always enjoy coming here for a solo art date. The energy and vibes are
